"IndexName","Date","Total Returns Index","Net Total Return Index"
"NIFTY 50","31 Dec 2025","39333.55","34279.31"
"NIFTY 50","30 Dec 2025","39046.40","34029.05"
"NIFTY 50","29 Dec 2025","39051.24","34033.28"
"NIFTY 50","26 Dec 2025","39202.11","34164.76"
"NIFTY 50","24 Dec 2025","39352.35","34295.7"
"NIFTY 50","23 Dec 2025","39405.10","34341.67"
"NIFTY 50","22 Dec 2025","39397.94","34335.42"
"NIFTY 50","19 Dec 2025","39087.88","34065.21"
"NIFTY 50","18 Dec 2025","38860.78","33867.28"
"NIFTY 50","17 Dec 2025","38865.29","33871.22"
"NIFTY 50","16 Dec 2025","38927.87","33925.76"
"NIFTY 50","15 Dec 2025","39179.54","34145.09"
"NIFTY 50","12 Dec 2025","39209.12","34170.87"
"NIFTY 50","11 Dec 2025","38985.75","33976.2"
"NIFTY 50","10 Dec 2025","38774.13","33791.77"
"NIFTY 50","09 Dec 2025","38897.02","33898.88"
"NIFTY 50","08 Dec 2025","39079.02","34057.48"
"NIFTY 50","05 Dec 2025","39419.07","34353.84"
"NIFTY 50","04 Dec 2025","39189.27","34153.57"
"NIFTY 50","03 Dec 2025","39117.33","34090.87"
"NIFTY 50","02 Dec 2025","39186.92","34151.52"
"NIFTY 50","01 Dec 2025","39403.02","34339.86"
"NIFTY 50","28 Nov 2025","39443.91","34375.49"
"NIFTY 50","27 Nov 2025","39462.93","34392.07"
"NIFTY 50","26 Nov 2025","39447.49","34378.61"
"NIFTY 50","25 Nov 2025","38965.00","33958.12"
"NIFTY 50","24 Nov 2025","39077.50","34056.16"
"NIFTY 50","21 Nov 2025","39241.00","34198.66"
"NIFTY 50","20 Nov 2025","39427.65","34361.32"
"NIFTY 50","19 Nov 2025","39217.69","34178.34"
"NIFTY 50","18 Nov 2025","39003.01","33991.25"
"NIFTY 50","17 Nov 2025","39157.99","34126.45"
"NIFTY 50","14 Nov 2025","39002.37","33992.2"
"NIFTY 50","13 Nov 2025","38955.83","33953.23"
"NIFTY 50","12 Nov 2025","38950.78","33948.83"
"NIFTY 50","11 Nov 2025","38678.54","33711.54"
"NIFTY 50","10 Nov 2025","38497.01","33553.33"
"NIFTY 50","07 Nov 2025","38366.88","33441.3"
"NIFTY 50","06 Nov 2025","38381.02","33456.13"
"NIFTY 50","04 Nov 2025","38513.37","33571.5"
"NIFTY 50","03 Nov 2025","38762.65","33790.39"
"NIFTY 50","31 Oct 2025","38700.60","33736.3"
"NIFTY 50","30 Oct 2025","38934.92","33940.57"
"NIFTY 50","29 Oct 2025","39199.80","34171.47"
"NIFTY 50","28 Oct 2025","39022.73","34017.11"
"NIFTY 50","27 Oct 2025","39067.59","34056.22"
"NIFTY 50","24 Oct 2025","38783.54","33814.23"
"NIFTY 50","23 Oct 2025","38928.23","33940.38"
"NIFTY 50","21 Oct 2025","38893.95","33910.49"
"NIFTY 50","20 Oct 2025","38855.68","33877.13"
"NIFTY 50","17 Oct 2025","38652.19","33700.35"
"NIFTY 50","16 Oct 2025","38460.73","33534.29"
"NIFTY 50","15 Oct 2025","38067.31","33191.26"
"NIFTY 50","14 Oct 2025","37795.97","32955.44"
"NIFTY 50","13 Oct 2025","37918.98","33062.7"
"NIFTY 50","10 Oct 2025","38006.18","33138.73"
"NIFTY 50","09 Oct 2025","37850.52","33003"
"NIFTY 50","08 Oct 2025","37646.65","32825.25"
"NIFTY 50","07 Oct 2025","37740.10","32906.73"
"NIFTY 50","06 Oct 2025","37694.02","32866.54"
"NIFTY 50","03 Oct 2025","37418.30","32626.14"
"NIFTY 50","01 Oct 2025","37331.20","32550.19"
"NIFTY 50","30 Sep 2025","36992.70","32255.05"
"NIFTY 50","29 Sep 2025","37028.48","32286.24"
"NIFTY 50","26 Sep 2025","37058.30","32312.24"
"NIFTY 50","25 Sep 2025","37413.25","32621.74"
"NIFTY 50","24 Sep 2025","37662.84","32839.36"
"NIFTY 50","23 Sep 2025","37832.09","32986.93"
"NIFTY 50","22 Sep 2025","37881.41","33029.93"
"NIFTY 50","19 Sep 2025","38068.84","33193.36"
"NIFTY 50","18 Sep 2025","38213.97","33319.9"
"NIFTY 50","17 Sep 2025","38073.65","33197.56"
"NIFTY 50","16 Sep 2025","37936.66","33078.11"
"NIFTY 50","15 Sep 2025","37681.33","32855.48"
"NIFTY 50","12 Sep 2025","37748.61","32914.14"
